58000	34039	0.160434	23992	9172	875	1	1
58001	34039	0.161741	23916	9235	888	29467	1
58002	17480	0.185154	11628	5231	621	21746	1
58003	17443	0.213123	10783	5885	775	14916	1
58004	17727	0.244824	10090	6594	1043	15081	1
58005	17936	0.284595	9165	7333	1438	15222	1
58006	34039	0.283586	17412	13948	2679	17546	1
58007	34039	0.284908	17383	13916	2740	29374	1
58008	34039	0.284277	17381	13963	2695	29335	1
58009	34039	0.282779	17523	13781	2735	29446	1
58010	34039	0.279709	17665	13706	2668	29389	1
58011	34039	0.2794	17639	13779	2621	29496	1
58012	34039	0.28106	17535	13874	2630	29424	1
58013	34039	0.282338	17563	13731	2745	29530	1
58014	34039	0.28059	17634	13708	2697	29391	1
58015	34039	0.279532	17689	13670	2680	29413	1
58016	34039	0.280605	17669	13637	2733	29406	1
58000	34039	0.160434	23992	9172	875	1	2
58001	34039	0.16343	23825	9302	912	29392	2
58002	17393	0.184701	11554	5253	586	21641	2
58003	17536	0.211251	10934	5795	807	15030	2
58004	17763	0.248888	10033	6618	1112	15140	2
58005	18064	0.294315	8988	7519	1557	15298	2
58006	34039	0.293472	17014	14071	2954	17632	2
58007	34039	0.29688	16815	14237	2987	29412	2
58008	34039	0.296175	16909	14097	3033	29330	2
58009	34039	0.293883	16965	14141	2933	29430	2
58010	34039	0.291137	17143	13972	2924	29482	2
58011	34039	0.29099	17109	14050	2880	29487	2
58012	34039	0.29027	17176	13965	2898	29472	2
58013	34039	0.289315	17220	13942	2877	29404	2
58014	34039	0.291621	17119	13987	2933	29396	2
58015	34039	0.29121	17114	14025	2900	29465	2
58016	34039	0.289212	17229	13931	2879	29409	2
58000	34039	0.160434	23992	9172	875	1	3
58001	34039	0.161609	23933	9210	896	29514	3
58002	17513	0.180152	11748	5220	545	21726	3
58003	17686	0.204173	11229	5692	765	15119	3
58004	17519	0.23974	10113	6412	994	15132	3
58005	18009	0.277278	9413	7205	1391	15150	3
58006	34039	0.278857	17694	13706	2639	17584	3
58007	34039	0.280649	17635	13702	2702	29408	3
58008	34039	0.282632	17497	13843	2699	29404	3
58009	34039	0.284747	17440	13813	2786	29476	3
58010	34039	0.284541	17440	13827	2772	29493	3
58011	34039	0.282118	17495	13882	2662	29455	3
58012	34039	0.284718	17507	13681	2851	29494	3
58013	34039	0.28438	17403	13912	2724	29410	3
58014	34039	0.282823	17506	13812	2721	29323	3
58015	34039	0.28128	17648	13633	2758	29389	3
58016	34039	0.282441	17523	13804	2712	29458	3
58000	34039	0.160434	23992	9172	875	1	4
58001	34039	0.158891	24103	9055	881	29425	4
58002	17434	0.180968	11709	5140	585	21698	4
58003	17506	0.2083	10967	5785	754	14991	4
58004	17720	0.239673	10234	6478	1008	15063	4
58005	18064	0.281942	9318	7306	1440	15292	4
58006	34039	0.284057	17409	13922	2708	17617	4
58007	34039	0.283939	17528	13692	2819	29418	4
58008	34039	0.286774	17308	13939	2792	29428	4
58009	34039	0.285834	17400	13819	2820	29440	4
58010	34039	0.286539	17279	14013	2747	29461	4
58011	34039	0.28886	17259	13895	2885	29536	4
58012	34039	0.289345	17205	13970	2864	29441	4
58013	34039	0.288302	17226	13999	2814	29531	4
58014	34039	0.288008	17184	14103	2752	29501	4
58015	34039	0.288919	17203	14003	2833	29389	4
58016	34039	0.287832	17263	13957	2819	29498	4
58000	34039	0.160434	23992	9172	875	1	5
58001	34039	0.159831	24029	9139	871	29328	5
58002	17529	0.181128	11756	5196	577	21766	5
58003	17644	0.210015	11018	5841	785	15087	5
58004	17563	0.242242	10106	6405	1052	15174	5
58005	18164	0.289088	9170	7486	1508	15239	5
58006	34039	0.287317	17317	13884	2838	17694	5
58007	34039	0.285893	17390	13835	2814	29479	5
58008	34039	0.286186	17344	13907	2788	29451	5
58009	34039	0.28839	17270	13905	2864	29378	5
58010	34039	0.28911	17234	13928	2877	29439	5
58011	34039	0.289374	17157	14064	2818	29448	5
58012	34039	0.289536	17140	14087	2812	29511	5
58013	34039	0.290417	17088	14131	2820	29416	5
58014	34039	0.287259	17322	13878	2839	29398	5
58015	34039	0.284365	17447	13825	2767	29382	5
58016	34039	0.284864	17399	13887	2753	29459	5
58000	34039	0.160434	23992	9172	875	1	6
58001	34039	0.160463	24050	9054	935	29471	6
58002	17642	0.184843	11763	5236	643	21837	6
58003	17619	0.216244	10807	6004	808	15143	6
58004	17806	0.245282	10115	6647	1044	15142	6
58005	18054	0.286446	9151	7463	1440	15260	6
58006	34039	0.285041	17331	14011	2697	17634	6
58007	34039	0.285496	17351	13940	2748	29432	6
58008	34039	0.285261	17401	13856	2782	29479	6
58009	34039	0.285011	17435	13805	2799	29395	6
58010	34039	0.284189	17437	13857	2745	29536	6
58011	34039	0.284189	17430	13871	2738	29502	6
58012	34039	0.284394	17445	13827	2767	29510	6
58013	34039	0.283396	17510	13765	2764	29500	6
58014	34039	0.284483	17432	13847	2760	29492	6
58015	34039	0.286671	17334	13894	2811	29433	6
58016	34039	0.286745	17265	14027	2747	29455	6
58000	34039	0.160434	23992	9172	875	1	7
58001	34039	0.161844	23904	9252	883	29309	7
58002	17438	0.184798	11583	5265	590	21683	7
58003	17728	0.210881	11059	5861	808	15011	7
58004	17666	0.246377	9996	6635	1035	15169	7
58005	17901	0.290487	9001	7400	1500	15162	7
58006	34039	0.289771	17102	14147	2790	17487	7
58007	34039	0.287641	17234	14028	2777	29385	7
58008	34039	0.287758	17332	13824	2883	29441	7
58009	34039	0.284438	17363	13988	2688	29422	7
58010	34039	0.28128	17611	13707	2721	29484	7
58011	34039	0.27962	17664	13714	2661	29399	7
58012	34039	0.278181	17738	13664	2637	29343	7
58013	34039	0.279224	17739	13591	2709	29460	7
58014	34039	0.27965	17693	13654	2692	29488	7
58015	34039	0.277358	17754	13688	2597	29472	7
58016	34039	0.278049	17725	13699	2615	29449	7
58000	34039	0.160434	23992	9172	875	1	8
58001	34039	0.161242	23919	9263	857	29417	8
58002	17524	0.182179	11741	5181	602	21775	8
58003	17701	0.210129	11038	5887	776	15132	8
58004	17865	0.242149	10230	6618	1017	15198	8
58005	17991	0.286782	9152	7359	1480	15346	8
58006	34039	0.286216	17436	13721	2882	17594	8
58007	34039	0.288434	17251	13940	2848	29452	8
58008	34039	0.28864	17281	13866	2892	29434	8
58009	34039	0.285055	17410	13852	2777	29426	8
58010	34039	0.284938	17444	13792	2803	29463	8
58011	34039	0.285995	17384	13840	2815	29451	8
58012	34039	0.286642	17385	13794	2860	29473	8
58013	34039	0.285144	17381	13904	2754	29371	8
58014	34039	0.287597	17342	13815	2882	29531	8
58015	34039	0.283821	17475	13806	2758	29474	8
58016	34039	0.284292	17433	13858	2748	29354	8
58000	34039	0.160434	23992	9172	875	1	9
58001	34039	0.15989	23987	9219	833	29377	9
58002	17402	0.181818	11666	5144	592	21655	9
58003	17522	0.206141	11007	5806	709	14974	9
58004	17802	0.235929	10398	6408	996	15102	9
58005	18045	0.276863	9440	7218	1387	15359	9
58006	34039	0.276389	17846	13570	2623	17601	9
58007	34039	0.276962	17829	13565	2645	29442	9
58008	34039	0.279385	17719	13620	2700	29489	9
58009	34039	0.280252	17746	13507	2786	29457	9
58010	34039	0.282455	17553	13743	2743	29459	9
58011	34039	0.281824	17592	13708	2739	29422	9
58012	34039	0.281941	17526	13832	2681	29374	9
58013	34039	0.284967	17417	13844	2778	29459	9
58014	34039	0.283366	17464	13859	2716	29521	9
58015	34039	0.281809	17540	13813	2686	29394	9
58016	34039	0.282353	17545	13766	2728	29402	9
58000	34039	0.160434	23992	9172	875	1	10
58001	34039	0.161932	23906	9242	891	29425	10
58002	17434	0.182029	11680	5161	593	21681	10
58003	17525	0.208559	10948	5844	733	15091	10
58004	17637	0.240999	10147	6479	1011	15150	10
58005	17927	0.281531	9246	7268	1413	15129	10
58006	34039	0.281883	17531	13826	2682	17498	10
58007	34039	0.284688	17431	13835	2773	29421	10
58008	34039	0.284483	17413	13885	2741	29539	10
58009	34039	0.284776	17423	13845	2771	29430	10
58010	34039	0.283484	17498	13783	2758	29498	10
58011	34039	0.283763	17470	13820	2749	29387	10
58012	34039	0.28485	17442	13802	2795	29472	10
58013	34039	0.285011	17341	13993	2705	29450	10
58014	34039	0.286142	17276	14046	2717	29418	10
58015	34039	0.288346	17177	14094	2768	29440	10
58016	34039	0.287053	17371	13794	2874	29346	10
58000	34039	0.160434	23992	9172	875	1	11
58001	34039	0.158715	24067	9139	833	29386	11
58002	17415	0.175883	11843	5018	554	21650	11
58003	17619	0.202026	11226	5667	726	14995	11
58004	17879	0.236311	10405	6498	976	15161	11
58005	17948	0.27641	9416	7142	1390	15360	11
58006	34039	0.274949	17881	13598	2560	17551	11
58007	34039	0.272496	18048	13431	2560	29492	11
58008	34039	0.270381	18143	13385	2511	29404	11
58009	34039	0.27044	18179	13309	2551	29423	11
58010	34039	0.26781	18221	13404	2414	29346	11
58011	34039	0.270337	18101	13472	2466	29417	11
58012	34039	0.26853	18216	13365	2458	29458	11
58013	34039	0.270087	18085	13521	2433	29429	11
58014	34039	0.268765	18264	13253	2522	29464	11
58015	34039	0.269749	18176	13362	2501	29431	11
58016	34039	0.274053	17971	13479	2589	29510	11
58000	34039	0.160434	23992	9172	875	1	12
58001	34039	0.160316	23958	9248	833	29413	12
58002	17573	0.1782	11869	5145	559	21821	12
58003	17830	0.203982	11291	5804	735	15150	12
58004	17866	0.2336	10472	6441	953	15311	12
58005	18098	0.271715	9579	7203	1316	15350	12
58006	34039	0.273187	17936	13608	2495	17681	12
58007	34039	0.27138	18020	13563	2456	29414	12
58008	34039	0.275772	17834	13636	2569	29440	12
58009	34039	0.275434	17857	13613	2569	29441	12
58010	34039	0.273583	17981	13491	2567	29390	12
58011	34039	0.277182	17774	13660	2605	29450	12
58012	34039	0.275419	17836	13656	2547	29393	12
58013	34039	0.277182	17796	13616	2627	29415	12
58014	34039	0.277828	17698	13768	2573	29339	12
58015	34039	0.279459	17602	13849	2588	29456	12
58016	34039	0.279503	17620	13810	2609	29468	12
58000	34039	0.160434	23992	9172	875	1	13
58001	34039	0.159831	23990	9217	832	29510	13
58002	17374	0.179262	11723	5073	578	21530	13
58003	17653	0.210191	11004	5877	772	15006	13
58004	17554	0.243705	10043	6466	1045	15086	13
58005	17938	0.285232	9128	7387	1423	15159	13
58006	34039	0.28532	17392	13870	2777	17527	13
58007	34039	0.285584	17357	13922	2760	29427	13
58008	34039	0.285525	17379	13882	2778	29473	13
58009	34039	0.284453	17399	13915	2725	29358	13
58010	34039	0.281706	17555	13790	2694	29483	13
58011	34039	0.283307	17402	13987	2650	29483	13
58012	34039	0.283998	17401	13942	2696	29463	13
58013	34039	0.279988	17689	13639	2711	29466	13
58014	34039	0.28012	17656	13696	2687	29405	13
58015	34039	0.276932	17784	13657	2598	29467	13
58016	34039	0.278651	17707	13694	2638	29438	13
58000	34039	0.160434	23992	9172	875	1	14
58001	34039	0.159817	23993	9212	834	29426	14
58002	17355	0.181101	11644	5136	575	21641	14
58003	17461	0.209495	10893	5820	748	15006	14
58004	17656	0.242609	10074	6597	985	15078	14
58005	18090	0.283444	9271	7383	1436	15258	14
58006	34039	0.284174	17464	13804	2771	17658	14
58007	34039	0.284262	17454	13818	2767	29348	14
58008	34039	0.284483	17489	13733	2817	29444	14
58009	34039	0.285746	17364	13897	2778	29329	14
58010	34039	0.284115	17432	13872	2735	29458	14
58011	34039	0.281398	17621	13679	2739	29516	14
58012	34039	0.28178	17561	13773	2705	29442	14
58013	34039	0.281398	17614	13693	2732	29377	14
58014	34039	0.280487	17599	13785	2655	29452	14
58015	34039	0.28222	17546	13773	2720	29459	14
58016	34039	0.283821	17467	13822	2750	29391	14
58000	34039	0.160434	23992	9172	875	1	15
58001	34039	0.162284	23912	9206	921	29441	15
58002	17460	0.185653	11561	5315	584	21782	15
58003	17629	0.212519	10894	5977	758	15090	15
58004	17667	0.244665	10043	6603	1021	15122	15
58005	17957	0.289748	9029	7450	1478	15160	15
58006	34039	0.289726	17248	13858	2933	17526	15
58007	34039	0.288698	17308	13808	2923	29325	15
58008	34039	0.28955	17198	13970	2871	29313	15
58009	34039	0.289653	17198	13963	2878	29414	15
58010	34039	0.287832	17265	13953	2821	29455	15
58011	34039	0.288507	17276	13885	2878	29421	15
58012	34039	0.290681	17139	14011	2889	29414	15
58013	34039	0.290446	17144	14017	2878	29469	15
58014	34039	0.291695	17147	13926	2966	29442	15
58015	34039	0.291768	17043	14129	2867	29516	15
58016	34039	0.292033	17101	13995	2943	29431	15
58000	34039	0.160434	23992	9172	875	1	16
58001	34039	0.161271	23913	9273	853	29551	16
58002	17392	0.178157	11717	5153	522	21635	16
58003	17623	0.200023	11317	5562	744	15007	16
58004	17722	0.236316	10360	6348	1014	15131	16
58005	18175	0.277854	9471	7308	1396	15260	16
58006	34039	0.27846	17754	13613	2672	17719	16
58007	34039	0.276991	17813	13595	2631	29492	16
58008	34039	0.275463	17837	13651	2551	29414	16
58009	34039	0.274009	17969	13486	2584	29432	16
58010	34039	0.275889	17847	13602	2590	29375	16
58011	34039	0.280928	17575	13803	2661	29479	16
58012	34039	0.278768	17682	13736	2621	29591	16
58013	34039	0.280913	17597	13760	2682	29452	16
58014	34039	0.281501	17532	13850	2657	29378	16
58015	34039	0.283763	17437	13886	2716	29404	16
58016	34039	0.284438	17371	13972	2696	29545	16
58000	34039	0.160434	23992	9172	875	1	17
58001	34039	0.160213	24000	9171	868	29416	17
58002	17502	0.182122	11708	5213	581	21806	17
58003	17631	0.204469	11142	5768	721	15136	17
58004	17790	0.23946	10316	6428	1046	15204	17
58005	17767	0.28249	9126	7244	1397	15259	17
58006	34039	0.283043	17502	13805	2732	17344	17
58007	34039	0.282074	17563	13749	2727	29426	17
58008	34039	0.282793	17480	13866	2693	29522	17
58009	34039	0.282455	17568	13713	2758	29348	17
58010	34039	0.280311	17647	13701	2691	29357	17
58011	34039	0.277872	17738	13685	2616	29461	17
58012	34039	0.27824	17752	13632	2655	29457	17
58013	34039	0.277608	17735	13709	2595	29469	17
58014	34039	0.275552	17824	13671	2544	29423	17
58015	34039	0.274773	17917	13538	2584	29405	17
58016	34039	0.275067	17830	13692	2517	29430	17
58000	34039	0.160434	23992	9172	875	1	18
58001	34039	0.159875	23957	9280	802	29469	18
58002	17525	0.180514	11751	5221	553	21830	18
58003	17643	0.207731	11089	5778	776	15078	18
58004	17818	0.237625	10380	6408	1030	15200	18
58005	18131	0.281066	9393	7284	1454	15344	18
58006	34039	0.280869	17612	13733	2694	17709	18
58007	34039	0.281912	17567	13752	2720	29433	18
58008	34039	0.281236	17566	13800	2673	29476	18
58009	34039	0.280531	17632	13716	2691	29486	18
58010	34039	0.278475	17728	13664	2647	29602	18
58011	34039	0.274479	17949	13494	2596	29465	18
58012	34039	0.27232	18046	13447	2546	29424	18
58013	34039	0.273818	17938	13561	2540	29403	18
58014	34039	0.274185	17929	13554	2556	29419	18
58015	34039	0.274127	17902	13612	2525	29498	18
58016	34039	0.276874	17831	13567	2641	29501	18
58000	34039	0.160434	23992	9172	875	1	19
58001	34039	0.160243	24035	9099	905	29359	19
58002	17548	0.184067	11728	5180	640	21746	19
58003	17629	0.205684	11102	5802	725	15075	19
58004	17958	0.237805	10446	6483	1029	15230	19
58005	17923	0.281872	9303	7136	1484	15301	19
58006	34039	0.282764	17522	13784	2733	17515	19
58007	34039	0.282338	17545	13767	2727	29547	19
58008	34039	0.283322	17496	13798	2745	29492	19
58009	34039	0.285937	17379	13854	2806	29455	19
58010	34039	0.284659	17415	13869	2755	29399	19
58011	34039	0.282955	17458	13899	2682	29431	19
58012	34039	0.281794	17506	13882	2651	29480	19
58013	34039	0.279929	17660	13701	2678	29427	19
58014	34039	0.282	17531	13818	2690	29417	19
58015	34039	0.280531	17601	13778	2660	29564	19
58016	34039	0.280032	17678	13658	2703	29413	19
58000	34039	0.160434	23992	9172	875	1	20
58001	34039	0.1613	23906	9285	848	29414	20
58002	17552	0.183597	11678	5303	571	21835	20
58003	17480	0.21024	10874	5862	744	15012	20
58004	17892	0.240051	10322	6550	1020	15108	20
58005	17911	0.282675	9168	7360	1383	15368	20
58006	34039	0.278945	17681	13726	2632	17516	20
58007	34039	0.280854	17576	13806	2657	29505	20
58008	34039	0.283836	17469	13817	2753	29359	20
58009	34039	0.283381	17437	13912	2690	29436	20
58010	34039	0.281809	17612	13669	2758	29528	20
58011	34039	0.281765	17504	13888	2647	29470	20
58012	34039	0.283293	17416	13960	2663	29445	20
58013	34039	0.280825	17641	13678	2720	29460	20
58014	34039	0.280149	17664	13678	2697	29480	20
58015	34039	0.27893	17742	13605	2692	29444	20
58016	34039	0.277446	17777	13636	2626	29510	20
58000	34039	0.160434	23992	9172	875	1	21
58001	34039	0.161491	23903	9278	858	29409	21
58002	17291	0.180932	11604	5117	570	21578	21
58003	17607	0.210115	10995	5825	787	14937	21
58004	17830	0.241475	10214	6621	995	15188	21
58005	17914	0.284498	9114	7407	1393	15265	21
58006	34039	0.283586	17413	13946	2680	17520	21
58007	34039	0.282676	17547	13740	2752	29440	21
58008	34039	0.284012	17438	13867	2734	29339	21
58009	34039	0.283469	17517	13746	2776	29543	21
58010	34039	0.283234	17538	13720	2781	29492	21
58011	34039	0.282955	17529	13757	2753	29431	21
58012	34039	0.284718	17493	13709	2837	29460	21
58013	34039	0.284145	17447	13840	2752	29426	21
58014	34039	0.280869	17610	13737	2692	29309	21
58015	34039	0.277814	17766	13633	2640	29449	21
58016	34039	0.27564	17885	13543	2611	29390	21
58000	34039	0.160434	23992	9172	875	1	22
58001	34039	0.15967	24087	9034	918	29383	22
58002	17523	0.180962	11761	5182	580	21726	22
58003	17515	0.211876	10853	5902	760	14959	22
58004	17886	0.243878	10231	6586	1069	15102	22
58005	18037	0.285496	9201	7373	1463	15362	22
58006	34039	0.286554	17304	13962	2773	17652	22
58007	34039	0.283895	17455	13841	2743	29440	22
58008	34039	0.285995	17355	13898	2786	29449	22
58009	34039	0.287024	17329	13880	2830	29435	22
58010	34039	0.288816	17160	14096	2783	29310	22
58011	34039	0.290681	17102	14085	2852	29403	22
58012	34039	0.288316	17209	14032	2798	29455	22
58013	34039	0.28626	17291	14008	2740	29463	22
58014	34039	0.288713	17222	13979	2838	29432	22
58015	34039	0.290578	17136	14024	2879	29456	22
58016	34039	0.289962	17182	13974	2883	29465	22
58000	34039	0.160434	23992	9172	875	1	23
58001	34039	0.160654	23958	9225	856	29471	23
58002	17447	0.184358	11637	5187	623	21646	23
58003	17600	0.210881	10957	5863	780	15016	23
58004	17775	0.244529	10133	6591	1051	15156	23
58005	18091	0.285004	9243	7384	1464	15300	23
58006	34039	0.283234	17483	13830	2726	17664	23
58007	34039	0.280663	17640	13691	2708	29454	23
58008	34039	0.28294	17521	13774	2744	29399	23
58009	34039	0.283763	17442	13876	2721	29489	23
58010	34039	0.282353	17492	13872	2675	29470	23
58011	34039	0.283351	17521	13746	2772	29514	23
58012	34039	0.284394	17444	13829	2766	29474	23
58013	34039	0.284483	17432	13847	2760	29402	23
58014	34039	0.282264	17506	13850	2683	29471	23
58015	34039	0.283866	17461	13831	2747	29462	23
58016	34039	0.284394	17428	13861	2750	29395	23
58000	34039	0.160434	23992	9172	875	1	24
58001	34039	0.161947	23900	9253	886	29464	24
58002	17506	0.183309	11661	5272	573	21744	24
58003	17630	0.208735	11067	5766	797	15070	24
58004	17658	0.241109	10149	6503	1006	15148	24
58005	17942	0.276335	9368	7232	1342	15232	24
58006	34039	0.27611	17803	13675	2561	17535	24
58007	34039	0.274288	17910	13585	2544	29476	24
58008	34039	0.274553	17896	13595	2548	29439	24
58009	34039	0.275008	17983	13390	2666	29509	24
58010	34039	0.277667	17736	13703	2600	29356	24
58011	34039	0.2799	17673	13677	2689	29438	24
58012	34039	0.279106	17747	13583	2709	29386	24
58013	34039	0.279576	17654	13737	2648	29453	24
58014	34039	0.281648	17524	13856	2659	29397	24
58015	34039	0.280472	17584	13816	2639	29368	24
58016	34039	0.283704	17496	13772	2771	29500	24
58000	34039	0.160434	23992	9172	875	1	25
58001	34039	0.158421	24187	8919	933	29444	25
58002	17337	0.179212	11715	5030	592	21640	25
58003	17867	0.21036	11132	5953	782	14995	25
58004	17877	0.240784	10284	6577	1016	15415	25
58005	18058	0.280679	9298	7383	1377	15356	25
58006	34039	0.277167	17812	13585	2642	17618	25
58007	34039	0.279165	17729	13615	2695	29395	25
58008	34039	0.277505	17755	13676	2608	29412	25
58009	34039	0.277637	17757	13663	2619	29470	25
58010	34039	0.280781	17683	13597	2759	29437	25
58011	34039	0.278489	17724	13671	2644	29445	25
58012	34039	0.280384	17611	13768	2660	29490	25
58013	34039	0.277182	17793	13622	2624	29480	25
58014	34039	0.278504	17641	13836	2562	29467	25
58015	34039	0.276359	17811	13642	2586	29451	25
58016	34039	0.274303	17947	13510	2582	29467	25
58000	34039	0.160434	23992	9172	875	1	26
58001	34039	0.159567	24021	9173	845	29418	26
