58000	34039	0.160434	23992	9172	875	1	1	1	1
58001	34039	0.158568	24109	9065	865	1	1	1	1
58002	10297	0.155725	7352	2683	262	0.3	0.3	0.3	1
58003	10262	0.156792	7293	2720	249	0.3	0.3	0.3	1
58004	10166	0.157387	7230	2672	264	0.3	0.3	0.3	1
58005	10208	0.155368	7297	2650	261	0.3	0.3	0.3	1
58006	34039	0.154205	24381	8818	840	1	1	1	1
58007	34039	0.155924	24247	8969	823	1	1	1	1
58008	34039	0.155586	24281	8924	834	1	1	1	1
58009	34039	0.155028	24284	8956	799	1	1	1	1
58010	34039	0.155616	24241	9002	796	1	1	1	1
58011	34039	0.153662	24405	8807	827	1	1	1	1
58012	34039	0.152942	24421	8824	794	1	1	1	1
58013	34039	0.151385	24522	8728	789	1	1	1	1
58014	34039	0.151708	24465	8820	754	1	1	1	1
58015	34039	0.15068	24584	8652	803	1	1	1	1
58016	34039	0.151796	24520	8704	815	1	1	1	1
58000	34039	0.160434	23992	9172	875	1	1	1	2
58001	34039	0.16177	23900	9265	874	1	1	1	2
58002	10257	0.159842	7264	2707	286	0.3	0.3	0.3	2
58003	10104	0.160976	7103	2749	252	0.3	0.3	0.3	2
58004	10411	0.158294	7396	2734	281	0.3	0.3	0.3	2
58005	10139	0.162195	7137	2715	287	0.3	0.3	0.3	2
58006	34039	0.161065	23951	9211	877	1	1	1	2
58007	34039	0.160566	24015	9117	907	1	1	1	2
58008	34039	0.159494	24057	9106	876	1	1	1	2
58009	34039	0.158833	24090	9085	864	1	1	1	2
58010	34039	0.158289	24106	9090	843	1	1	1	2
58011	34039	0.157995	24130	9062	847	1	1	1	2
58012	34039	0.159361	24055	9119	865	1	1	1	2
58013	34039	0.158201	24100	9108	831	1	1	1	2
58014	34039	0.159244	24031	9175	833	1	1	1	2
58015	34039	0.15873	24111	9050	878	1	1	1	2
58016	34039	0.155498	24278	8936	825	1	1	1	2
58000	34039	0.160434	23992	9172	875	1	1	1	3
58001	34039	0.160551	24027	9094	918	1	1	1	3
58002	10187	0.1658	7104	2788	295	0.3	0.3	0.3	3
58003	10095	0.168351	6988	2815	292	0.3	0.3	0.3	3
58004	10144	0.165714	7032	2862	250	0.3	0.3	0.3	3
58005	10276	0.165921	7186	2770	320	0.3	0.3	0.3	3
58006	34039	0.161873	23882	9294	863	1	1	1	3
58007	34039	0.161491	23925	9234	880	1	1	1	3
58008	34039	0.161006	23991	9135	913	1	1	1	3
58009	34039	0.161726	23929	9210	900	1	1	1	3
58010	34039	0.163915	23789	9341	909	1	1	1	3
58011	34039	0.165839	23675	9438	926	1	1	1	3
58012	34039	0.167852	23570	9511	958	1	1	1	3
58013	34039	0.167102	23610	9482	947	1	1	1	3
58014	34039	0.167323	23600	9487	952	1	1	1	3
58015	34039	0.166441	23684	9379	976	1	1	1	3
58016	34039	0.165824	23711	9367	961	1	1	1	3
58000	34039	0.160434	23992	9172	875	1	1	1	4
58001	34039	0.1613	23959	9179	901	1	1	1	4
58002	10126	0.163243	7078	2790	258	0.3	0.3	0.3	4
58003	10255	0.163871	7139	2871	245	0.3	0.3	0.3	4
58004	10270	0.164752	7165	2826	279	0.3	0.3	0.3	4
58005	10264	0.162607	7200	2790	274	0.3	0.3	0.3	4
58006	34039	0.161535	23983	9115	941	1	1	1	4
58007	34039	0.161124	23941	9227	871	1	1	1	4
58008	34039	0.162299	23869	9291	879	1	1	1	4
58009	34039	0.163886	23843	9235	961	1	1	1	4
58010	34039	0.162519	23912	9190	937	1	1	1	4
58011	34039	0.163489	23841	9266	932	1	1	1	4
58012	34039	0.165575	23670	9466	903	1	1	1	4
58013	34039	0.165384	23714	9391	934	1	1	1	4
58014	34039	0.164062	23815	9279	945	1	1	1	4
58015	34039	0.165736	23711	9373	955	1	1	1	4
58016	34039	0.165061	23723	9395	921	1	1	1	4
58000	34039	0.160434	23992	9172	875	1	1	1	5
58001	34039	0.161242	23991	9119	929	1	1	1	5
58002	10407	0.163352	7289	2836	282	0.3	0.3	0.3	5
58003	10326	0.167345	7157	2882	287	0.3	0.3	0.3	5
58004	10277	0.164591	7179	2813	285	0.3	0.3	0.3	5
58005	10099	0.163085	7045	2814	240	0.3	0.3	0.3	5
58006	34039	0.163665	23788	9360	891	1	1	1	5
58007	34039	0.161961	23899	9254	886	1	1	1	5
58008	34039	0.162843	23891	9210	938	1	1	1	5
58009	34039	0.161286	23891	9316	832	1	1	1	5
58010	34039	0.162079	23880	9284	875	1	1	1	5
58011	34039	0.161888	23922	9213	904	1	1	1	5
58012	34039	0.164635	23725	9420	894	1	1	1	5
58013	34039	0.163592	23820	9301	918	1	1	1	5
58014	34039	0.163915	23802	9315	922	1	1	1	5
58015	34039	0.165678	23672	9455	912	1	1	1	5
58016	34039	0.163474	23816	9317	906	1	1	1	5
58000	34039	0.160434	23992	9172	875	1	1	1	6
58001	34039	0.16086	23943	9241	855	1	1	1	6
58002	10189	0.161498	7158	2771	260	0.3	0.3	0.3	6
