Generation	Ne	Frequency	WT	HET	HOM	Replicate
58015	34039	0.157731	24156	9028	855	9
58016	34039	0.1566	24208	9001	830	9
58000	34039	0.160434	23992	9172	875	10
58001	34039	0.157922	24144	9039	856	10
58002	20640	0.160199	14572	5523	545	10
58003	16466	0.160634	11614	4414	438	10
58004	15159	0.1604	10661	4133	365	10
58005	14782	0.160668	10422	3970	390	10
58006	34039	0.158671	24086	9104	849	10
58007	34039	0.158465	24127	9036	876	10
58008	34039	0.159229	24036	9166	837	10
58009	34039	0.159361	24052	9125	862	10
58010	34039	0.158686	24122	9031	886	10
58011	34039	0.157878	24145	9040	854	10
58012	34039	0.159714	24061	9083	895	10
58013	34039	0.158965	24061	9134	844	10
58014	34039	0.158627	24060	9159	820	10
58015	34039	0.15732	24159	9050	830	10
58016	34039	0.15732	24183	9002	854	10
