Generation	Ne	Frequency	WT	HET	HOM	Replicate
58011	34039	0.805899	1284	10646	22109	9
58012	34039	0.806898	1301	10544	22194	9
58013	34039	0.805738	1294	10637	22108	9
58014	34039	0.804445	1331	10651	22057	9
58015	34039	0.805649	1280	10671	22088	9
58016	34039	0.805708	1365	10497	22177	9
58000	34039	0.160434	23992	9172	875	10
58001	34039	0.161168	23979	9148	912	10
58002	10104	0.542854	0	9238	866	10
58003	27117	0.686175	0	17020	10097	10
58004	30748	0.763009	0	14574	16174	10
58005	32124	0.808803	0	12284	19840	10
58006	34039	0.809469	1287	10397	22355	10
58007	34039	0.810159	1227	10470	22342	10
58008	34039	0.814096	1130	10396	22513	10
58009	34039	0.813009	1182	10366	22491	10
58010	34039	0.812362	1209	10356	22474	10
58011	34039	0.814096	1232	10192	22615	10
58012	34039	0.815329	1157	10258	22624	10
58013	34039	0.813787	1146	10385	22508	10
58014	34039	0.815829	1240	10058	22741	10
58015	34039	0.816123	1161	10196	22682	10
58016	34039	0.814316	1176	10289	22574	10
