Generation	Ne	Frequency	WT	HET	HOM	Replicate
58013	34039	0.154382	24321	8926	792	8
58014	34039	0.158318	24097	9106	836	8
58015	34039	0.155645	24262	8958	819	8
58016	34039	0.157011	24213	8963	863	8
58000	34039	0.160434	23992	9172	875	9
58001	34039	0.160977	23969	9181	889	9
58002	34039	0.164179	23786	9329	924	9
58003	34039	0.162255	23908	9216	915	9
58004	34039	0.160918	23974	9175	890	9
58005	34039	0.164121	23765	9375	899	9
58006	34039	0.164267	23782	9331	926	9
58007	34039	0.164576	23723	9428	888	9
58008	34039	0.165927	23722	9338	979	9
58009	34039	0.166339	23647	9460	932	9
58010	34039	0.166412	23687	9375	977	9
58011	34039	0.164884	23711	9431	897	9
58012	34039	0.165149	23722	9391	926	9
58013	34039	0.163092	23835	9305	899	9
58014	34039	0.162564	23911	9189	939	9
58015	34039	0.16368	23808	9319	912	9
58016	34039	0.165443	23695	9425	919	9
58000	34039	0.160434	23992	9172	875	10
58001	34039	0.161477	23946	9193	900	10
58002	34039	0.163783	23781	9366	892	10
58003	34039	0.163401	23826	9302	911	10
58004	34039	0.163489	23861	9226	952	10
58005	34039	0.161021	23989	9138	912	10
58006	34039	0.163592	23785	9371	883	10
58007	34039	0.163856	23841	9241	957	10
58008	34039	0.163739	23815	9301	923	10
58009	34039	0.164253	23793	9310	936	10
58010	34039	0.165854	23638	9511	890	10
58011	34039	0.166309	23632	9492	915	10
58012	34039	0.167058	23664	9377	998	10
58013	34039	0.167058	23635	9435	969	10
58014	34039	0.165487	23728	9356	955	10
58015	34039	0.165634	23679	9444	916	10
58016	34039	0.165487	23755	9302	982	10
