Generation	Ne	Frequency	WT	HET	HOM	Replicate
58008	34039	0.285467	17385	13874	2780	8
58009	34039	0.284189	17485	13761	2793	8
58010	34039	0.28601	17311	13985	2743	8
58011	34039	0.28698	17298	13945	2796	8
58012	34039	0.288801	17262	13893	2884	8
58013	34039	0.289521	17173	14022	2844	8
58014	34039	0.289976	17263	13811	2965	8
58015	34039	0.287362	17284	13947	2808	8
58016	34039	0.289932	17168	14004	2867	8
58000	34039	0.160434	23992	9172	875	9
58001	34039	0.158833	24028	9209	802	9
58002	17020	0.178114	11464	5049	507	9
58003	17020	0.204377	10772	5539	709	9
58004	17020	0.232609	10019	6084	917	9
58005	17020	0.271857	9081	6624	1315	9
58006	34039	0.274905	17879	13605	2555	9
58007	34039	0.275287	17886	13565	2588	9
58008	34039	0.272996	17987	13519	2533	9
58009	34039	0.271027	18085	13457	2497	9
58010	34039	0.273422	17969	13526	2544	9
58011	34039	0.27395	17910	13608	2521	9
58012	34039	0.276315	17887	13493	2659	9
58013	34039	0.283249	17498	13799	2742	9
58014	34039	0.285525	17411	13818	2810	9
58015	34039	0.289183	17222	13947	2870	9
58016	34039	0.291533	17112	14007	2920	9
58000	34039	0.160434	23992	9172	875	10
58001	34039	0.162769	23807	9383	849	10
58002	17020	0.187603	11206	5242	572	10
58003	17020	0.21889	10388	5813	819	10
58004	17020	0.255376	9413	6521	1086	10
58005	17020	0.303496	8250	7209	1561	10
58006	34039	0.303784	16453	14491	3095	10
58007	34039	0.303637	16456	14495	3088	10
58008	34039	0.303534	16571	14272	3196	10
58009	34039	0.30418	16470	14430	3139	10
58010	34039	0.304078	16491	14395	3153	10
58011	34039	0.307985	16286	14539	3214	10
58012	34039	0.310467	16080	14782	3177	10
58013	34039	0.309013	16340	14361	3338	10
58014	34039	0.303769	16480	14438	3121	10
58015	34039	0.303079	16515	14415	3109	10
58016	34039	0.302785	16543	14379	3117	10
