Generation	Ne	Frequency	WT	HET	HOM	Replicate
58013	34039	0.163562	23815	9313	911	8
58014	34039	0.163357	23849	9259	931	8
58015	34039	0.163944	23811	9295	933	8
58016	34039	0.163415	23799	9355	885	8
58000	34039	0.160434	23992	9172	875	9
58001	34039	0.159449	24065	9093	881	9
58002	17728	0.160283	12476	4821	431	9
58003	17595	0.15817	12462	4700	433	9
58004	17789	0.157007	12639	4714	436	9
58005	17985	0.15246	12915	4656	414	9
58006	34039	0.152634	24434	8819	786	9
58007	34039	0.152972	24447	8770	822	9
58008	34039	0.156233	24225	8992	822	9
58009	34039	0.156776	24147	9111	781	9
58010	34039	0.155234	24274	8962	803	9
58011	34039	0.153383	24410	8816	813	9
58012	34039	0.152781	24478	8721	840	9
58013	34039	0.154338	24319	8933	787	9
58014	34039	0.154411	24355	8856	828	9
58015	34039	0.154573	24321	8913	805	9
58016	34039	0.154426	24359	8847	833	9
58000	34039	0.160434	23992	9172	875	10
58001	34039	0.159508	24054	9111	874	10
58002	17728	0.159493	12534	4733	461	10
58003	17595	0.161125	12389	4742	464	10
58004	17789	0.163219	12458	4855	476	10
58005	17985	0.163914	12571	4932	482	10
58006	34039	0.163004	23824	9333	882	10
58007	34039	0.161785	23917	9230	892	10
58008	34039	0.160816	24028	9074	937	10
58009	34039	0.159214	24060	9119	860	10
58010	34039	0.159611	24007	9198	834	10
58011	34039	0.157966	24090	9144	805	10
58012	34039	0.155219	24289	8933	817	10
58013	34039	0.157701	24126	9090	823	10
58014	34039	0.156424	24243	8943	853	10
58015	34039	0.15779	24181	8974	884	10
58016	34039	0.156717	24186	9037	816	10
