Generation	Ne	Frequency	WT	HET	HOM	Replicate
58010	34039	0.19034	22321	10478	1240	9
58011	34039	0.19059	22304	10495	1240	9
58012	34039	0.193499	22132	10641	1266	9
58013	34039	0.196319	21929	10855	1255	9
58014	34039	0.195144	22099	10595	1345	9
58015	34039	0.195247	22034	10718	1287	9
58016	34039	0.194262	22106	10641	1292	9
58000	34039	0.160434	23992	9172	875	10
58001	34039	0.162475	23853	9311	875	10
58002	17149	0.170476	11823	4805	521	10
58003	17332	0.182322	11601	5142	589	10
58004	17260	0.192149	11262	5363	635	10
58005	17242	0.202703	10944	5606	692	10
58006	34039	0.202092	21691	10938	1410	10
58007	34039	0.202635	21652	10979	1408	10
58008	34039	0.204207	21543	11090	1406	10
58009	34039	0.204868	21526	11079	1434	10
58010	34039	0.205088	21529	11058	1452	10
58011	34039	0.207248	21443	11083	1513	10
58012	34039	0.20832	21311	11274	1454	10
58013	34039	0.210009	21268	11245	1526	10
58014	34039	0.210053	21241	11296	1502	10
58015	34039	0.209128	21323	11195	1521	10
58016	34039	0.21211	21142	11354	1543	10
